Standard name ,Extended explanation 
Unknown,Object of unknown nature
,
Radio ,Radio-source 
Radio(m),metric Radio-source
Radio(cm),centimetric Radio-source
Radio(mm),millimetric Radio-source
Radio(sub-mm),sub-millimetric source
HI,HI (21cm) source
radioBurst,radio Burst
Maser,Maser
,
IR ,Infra-Red source 
IR>30um,Far-IR source (&lambda; >= 30 µm)
IR<10um,Near-IR source (&lambda; < 10 µm)
,
Red ,Very red source 
RedExtreme,Extremely Red Object
,
Blue ,Blue object 
,
UV ,UV-emission source 
,
X ,X-ray source 
ULX?,Ultra-luminous X-ray candidate
ULX,Ultra-luminous X-ray source
,
gamma ,gamma-ray source 
gammaBurst,gamma-ray Burst
,
Inexistent ,"Not an object (error, artefact, ...) "
,
Gravitation ,Gravitational Source 
LensingEv,(Micro)Lensing Event
Candidate_LensSystem,Possible gravitational lens System
Candidate_Lens,Possible gravitational lens
Possible_lensImage,Possible gravitationally lensed image
GravLens,Gravitational Lens
GravLensSystem,Gravitational Lens System (lens+images)
,
Candidates ,Candidate objects 
Possible_SClG,Possible Supercluster of Galaxies
Possible_ClG,Possible Cluster of Galaxies
Possible_GrG,Possible Group of Galaxies
Candidate_**,Physical Binary Candidate
Candidate_EB*,Eclipsing Binary Candidate
Candidate_CV*,Cataclysmic Binary Candidate
Candidate_XB*,X-ray binary Candidate
Candidate_LMXB,Low-Mass X-ray binary Candidate
Candidate_HMXB,High-Mass X-ray binary Candidate
Candidate_Pec*,Possible Peculiar Star
Candidate_YSO,Young Stellar Object Candidate
Candidate_pMS*,Pre-main sequence Star Candidate
Candidate_TTau*,T Tau star Candidate
Candidate_C*,Possible Carbon Star
Candidate_S*,Possible S Star
Candidate_OH,Possible Star with envelope of OH/IR type
Candidate_CH,Possible Star with envelope of CH type
Candidate_WR*,Possible Wolf-Rayet Star
Candidate_Be*,Possible Be Star
Candidate_HB*,Possible Horizontal Branch Star
Candidate_RRLyr,Possible Star of RR Lyr type
Candidate_Cepheid,Possible Cepheid
Candidate_RGB*,Possible Red Giant Branch star
Candidate_SG*,Possible Supergiant star
Candidate_RSG*,Possible Red supergiant star
Candidate_YSG*,Possible Yellow supergiant star
Candidate_BSG*,Possible Blue supergiant star
Candidate_AGB*,Possible Asymptotic Giant Branch Star
Candidate_post-AGB*,Post-AGB Star Candidate
Candidate_BSS,Candidate blue Straggler Star
Candidate_WD*,White Dwarf Candidate
Candidate_NS,Neutron Star Candidate
Candidate_BH,Black Hole Candidate
Candidate_SN*,SuperNova Candidate
Candidate_low-mass*,Low-mass star candidate
Candidate_brownD*,Brown Dwarf Candidate
,
multiple_object ,Composite object 
Region,Region defined in the sky
Void,Underdense region of the Universe
SuperClG,Supercluster of Galaxies
ClG,Cluster of Galaxies
GroupG,Group of Galaxies
Compact_Gr_G,Compact Group of Galaxies
PairG,Pair of Galaxies
IG,Interacting Galaxies
GlCl?,Possible Globular Cluster
Cl*,Cluster of Stars
GlCl,Globular Cluster
OpCl,Open (galactic) Cluster
Assoc*,Association of Stars
**,Double or multiple star
EB*,Eclipsing binary
EB*Algol,Eclipsing binary of Algol type
